_token,_category,_sequenceID,_reset,ID
Donkey,1,69,0,69
Antelope,0,70,1,70
eats,0,70,0,70
Borage,0,70,0,70
Borage,1,71,1,71
eats,1,71,0,71
Antelope,1,71,0,71
Donkey,0,72,1,72
eats,0,72,0,72
Amaranth,0,72,0,72
Amaranth,1,73,1,73
eats,1,73,0,73
Donkey,1,73,0,73
Donkey,0,74,1,74
eats,0,74,0,74
Cabbage,0,74,0,74
Cabbage,1,75,1,75
eats,1,75,0,75
Donkey,1,75,0,75
Baboon,0,76,1,76
eats,0,76,0,76
Arugula,0,76,0,76
Arugula,1,77,1,77
eats,1,77,0,77
Baboon,1,77,0,77
Ape,0,78,1,78
eats,0,78,0,78
Amaranth,0,78,0,78
Amaranth,1,79,1,79
eats,1,79,0,79
Ape,1,79,0,79
Donkey,0,80,1,80
eats,0,80,0,80
Arugula,0,80,0,80
Arugula,1,81,1,81
eats,1,81,0,81
Donkey,1,81,0,81
Badger,0,82,1,82
eats,0,82,0,82
Arugula,0,82,0,82
Arugula,1,83,1,83
eats,1,83,0,83
Badger,1,83,0,83
Baboon,0,84,1,84
eats,0,84,0,84
Cabbage,0,84,0,84
Cabbage,1,85,1,85
eats,1,85,0,85
Baboon,1,85,0,85
Badger,0,86,1,86
eats,0,86,0,86
Borage,0,86,0,86
Borage,1,87,1,87
eats,1,87,0,87
Badger,1,87,0,87
Baboon,0,88,1,88
eats,0,88,0,88
Borage,0,88,0,88
Borage,1,89,1,89
eats,1,89,0,89
Baboon,1,89,0,89
Ape,0,90,1,90
eats,0,90,0,90
Arugula,0,90,0,90
Arugula,1,91,1,91
eats,1,91,0,91
Ape,1,91,0,91
Donkey,0,92,1,92
eats,0,92,0,92
Borage,0,92,0,92
Borage,1,93,1,93
eats,1,93,0,93
Donkey,1,93,0,93
Baboon,0,94,1,94
eats,0,94,0,94
Borage,0,94,0,94
Borage,1,95,1,95
eats,1,95,0,95
Baboon,1,95,0,95
Badger,0,96,1,96
eats,0,96,0,96
Arugula,0,96,0,96
Arugula,1,97,1,97
eats,1,97,0,97
Badger,1,97,0,97
Badger,0,98,1,98
eats,0,98,0,98
Borage,0,98,0,98
Borage,1,99,1,99
eats,1,99,0,99
Badger,1,99,0,99
