_token,_category,_sequenceID,_reset,ID
and,1 5,14,0,14
it,1 5,14,0,14
s,1 5,14,0,14
not,1 5,14,0,14
okay,1 5,14,0,14
because,1 5,14,0,14
if,1 5,14,0,14
they,1 5,14,0,14
take,1 5,14,0,14
my,1 5,14,0,14
stapler,1 5,14,0,14
then,1 5,14,0,14
i,1 5,14,0,14
ll,1 5,14,0,14
set,1 5,14,0,14
the,1 5,14,0,14
building,1 5,14,0,14
on,1 5,14,0,14
fire,1 5,14,0,14
i,3 9,15,1,15
wouldn,3 9,15,0,15
t,3 9,15,0,15
say,3 9,15,0,15
no,3 9,15,0,15
to,3 9,15,0,15
trying,3 9,15,0,15
tellpresience,3 9,15,0,15
robots,3 9,15,0,15
or,3 9,15,0,15
standing,3 9,15,0,15
desks,3 9,15,0,15
the,3,16,1,16
projector,3,16,0,16
is,3,16,0,16
misaligned,3,16,0,16
and,3,16,0,16
it,3,16,0,16
bugs,3,16,0,16
the,3,16,0,16
hell,3,16,0,16
out,3,16,0,16
of,3,16,0,16
me,3,16,0,16
it,3,16,0,16
was,3,16,0,16
embarassing,3,16,0,16
in,3,16,0,16
the,3,16,0,16
identifier,3,16,0,16
deleted,3,16,0,16
meeting,3,16,0,16
when,3,16,0,16
identifier,3,16,0,16
deleted,3,16,0,16
pinted,3,16,0,16
it,3,16,0,16
out,3,16,0,16
the,2 4,17,1,17
office,2 4,17,0,17
is,2 4,17,0,17
great,2 4,17,0,17
don,2 4,17,0,17
t,2 4,17,0,17
change,2 4,17,0,17
anything,2 4,17,0,17
we,2 4,17,0,17
should,2 4,17,0,17
do,2 4,17,0,17
more,2 4,17,0,17
offsite,2 4,17,0,17
activities,2 4,17,0,17
though,2 4,17,0,17
like,2 4,17,0,17
a,2 4,17,0,17
giants,2 4,17,0,17
game,2 4,17,0,17
showers,10,18,1,18
a,10,18,0,18
lot,10,18,0,18
of,10,18,0,18
us,10,18,0,18
bike,10,18,0,18
to,10,18,0,18
from,10,18,0,18
work,10,18,0,18
and,10,18,0,18
wouldn,10,18,0,18
t,10,18,0,18
mind,10,18,0,18
cleaning,10,18,0,18
up,10,18,0,18
we,10,18,0,18
could,10,18,0,18
also,10,18,0,18
workout,10,18,0,18
before,10,18,0,18
work,10,18,0,18
or,10,18,0,18
even,10,18,0,18
at,10,18,0,18
lunchtime,10,18,0,18
if,10,18,0,18
we,10,18,0,18
want,10,18,0,18
to,10,18,0,18
i,1,19,1,19
wish,1,19,0,19
to,1,19,0,19
work,1,19,0,19
in,1,19,0,19
a,1,19,0,19
unicorn,1,19,0,19
free,1,19,0,19
environment,1,19,0,19
snack,7,20,1,20
suggestion,7,20,0,20
box,7,20,0,20
bar,7,20,0,20
better,7,20,0,20
more,7,20,0,20
beer,7,20,0,20
move,1,21,1,21
the,1,21,0,21
office,1,21,0,21
to,1,21,0,21
sf,1,21,0,21
the,7 0,22,1,22
keurig,7 0,22,0,22
is,7 0,22,0,22
no,7 0,22,0,22
good,7 0,22,0,22
we,7 0,22,0,22
should,7 0,22,0,22
have,7 0,22,0,22
an,7 0,22,0,22
arrngment,7 0,22,0,22
with,7 0,22,0,22
identifier,7 0,22,0,22
deleted,7 0,22,0,22
for,7 0,22,0,22
discounts,7 0,22,0,22
or,7 0,22,0,22
at,7 0,22,0,22
least,7 0,22,0,22
we,7 0,22,0,22
could,7 0,22,0,22
have,7 0,22,0,22
meetings,7 0,22,0,22
at,7 0,22,0,22
identifier,7 0,22,0,22
deleted,7 0,22,0,22
fresher,7,23,1,23
fruit,7,23,0,23
actual,7,23,0,23
coffee,7,23,0,23
almond,7,23,0,23
milk,7,23,0,23
i,1,24,1,24
want,1,24,0,24
to,1,24,0,24
sit,1,24,0,24
down,1,24,0,24
druing,1,24,0,24
stand,1,24,0,24
up,1,24,0,24
sonos,6 3,25,1,25
speakers,6 3,25,0,25
then,6 3,25,0,25
a,6 3,25,0,25
few,6 3,25,0,25
of,6 3,25,0,25
us,6 3,25,0,25
could,6 3,25,0,25
play,6 3,25,0,25
some,6 3,25,0,25
music,6 3,25,0,25
and,6 3,25,0,25
work,6 3,25,0,25
together,6 3,25,0,25
in,6 3,25,0,25
a,6 3,25,0,25
conference,6 3,25,0,25
room,6 3,25,0,25
otherwise,6 3,25,0,25
all,6 3,25,0,25
is,6 3,25,0,25
well,6 3,25,0,25
personal,5 3,26,1,26
whiteboards,5 3,26,0,26
at,5 3,26,0,26
each,5 3,26,0,26
desk,5 3,26,0,26
webcams,5 3,26,0,26
in,5 3,26,0,26
the,5 3,26,0,26
confrnce,5 3,26,0,26
rooms,5 3,26,0,26
retrofit,11,27,1,27
a,11,27,0,27
conference,11,27,0,27
room,11,27,0,27
for,11,27,0,27
a,11,27,0,27
nap,11,27,0,27
room,11,27,0,27
lecture,11 6,28,1,28
series,11 6,28,0,28
guest,11 6,28,0,28
lectures,11 6,28,0,28
videos,11 6,28,0,28
or,11 6,28,0,28
we,11 6,28,0,28
give,11 6,28,0,28
them,11 6,28,0,28
oursleves,11 6,28,0,28
chairs,9,29,1,29
could,9,29,0,29
be,9,29,0,29
better,9,29,0,29
i,4 6 7,30,1,30
love,4 6 7,30,0,30
the,4 6 7,30,0,30
office,4 6 7,30,0,30
wouldn,4 6 7,30,0,30
t,4 6 7,30,0,30
want,4 6 7,30,0,30
to,4 6 7,30,0,30
work,4 6 7,30,0,30
anywere,4 6 7,30,0,30
else,4 6 7,30,0,30
maybe,4 6 7,30,0,30
have,4 6 7,30,0,30
more,4 6 7,30,0,30
drinks,4 6 7,30,0,30
and,4 6 7,30,0,30
game,4 6 7,30,0,30
nights,4 6 7,30,0,30
healthier,2 7,31,1,31
snacks,2 7,31,0,31
bring,2 7,31,0,31
in,2 7,31,0,31
dinner,2 7,31,0,31
when,2 7,31,0,31
working,2 7,31,0,31
late,2 7,31,0,31
allow,2 7,31,0,31
for,2 7,31,0,31
lunchtime,2 7,31,0,31
workout,2 7,31,0,31
and,2 7,31,0,31
maybe,2 7,31,0,31
a,2 7,31,0,31
gym,2 7,31,0,31
membership,2 7,31,0,31
at,2 7,31,0,31
identifier,2 7,31,0,31
deleted,2 7,31,0,31
down,2 7,31,0,31
the,2 7,31,0,31
street,2 7,31,0,31
fewer,1,32,1,32
surveys,1,32,0,32
drones,6 3 7,33,1,33
video,6 3 7,33,0,33
games,6 3 7,33,0,33
book,6 3 7,33,0,33
club,6 3 7,33,0,33
beer,6 3 7,33,0,33
supplies,4,34,1,34
and,4,34,0,34
tech,4,34,0,34
are,4,34,0,34
phenomnal,4,34,0,34
food,4,34,0,34
is,4,34,0,34
great,4,34,0,34
kitchen,4,34,0,34
and,4,34,0,34
bathrooms,4,34,0,34
clean,4,34,0,34
i,4,34,0,34
wouldnt,4,34,0,34
change,4,34,0,34
anyting,4,34,0,34
