ID,Sample
10450_0,"Best show ever. the characters are awesome. my favorites are Cassie the witch and Thelma the lesbian ghost. but Azazel is hot. watch it because it would be like nothing you've ever seen before. who ever came up with the idea is a genius. the chemistry between characters it fantastic. you might recognize Cassie from ""what a girl wants"", this is a major step up for her and she is a great actor and should get more offers after this show. Thelma is also not a new face, she was is in the famous five movies. as the tom-boy George (georgina).its nice to see her with a change of clothes and looking more like a girl. Azazel is a hunk of gorgeous man. he is the fallen angel who is working with the devil against god. this show has a brilliant plot and I'm gonna keep watching"
10496_0,"What were they thinking? This movie is geared to the typical Seasame Street set of 2 to 8 year olds. Although the story line deals with lessons in sharing, we see Elmo lose his blanket to an evil fellow in Grouchland. If your kids have a favorite blanket this will hit too close to home. The producers added commentary by Bert and Ernie after the movie proved too frightening. The Bert and Ernie bits do lighten things up a bit but it is too scary. The movie has the usual great sets, puppets etc. but it is not for the 2 to 8 year old set. Go figure."
10540_0,"Prince of Persia - The Two Thrones was one of the most anticipated games of 2005, and one of the most disappointing for me. A good overall game that brings very little freshness to the scene.<br /><br />UbiSoft should definitely be praised for the upgrades this game has brought compared to the previous titles. Graphically, the game looks and plays much smoother, but there are no real new technical enhancements to speak of.<br /><br />The music also returns to a much more Persian feel, compared to Warrior Within. A feature that 99% of the fans might consider an improvement... but I'm part of the 1%. As an overall aesthetic choice, it does bring more immersiveness to the environment, but since 50% of the action takes place while you chop off the heads off random creatures, the metal beat of WW just felt more adequate (imo).<br /><br />The Dark Prince also brings about a new dynamic to the world, as the often humorous verbal encounters between the Prince and his corrupted self caused me to stop playing for a minute or two, just to better enjoy their bickering. Rick Miller is to be commended for brining the Prince's dark persona to life.<br /><br />What I didn't really enjoy about the game on the other hand... would be a bit more controversial. Yuri Lowenthal for example. Don't get me wrong, his voice acting is top-notch, what really disappointed me is that I was expecting to see a much more mature Prince in this third and final installment. Instead, I was treated with a 'younger' Prince of both voice and behavior. I understand how he went through a rough time in Warrior Within, and after his victory over death he felt free once again... but it just felt like he went from 18 (Sands of Time) to 24 (Warrior Within) back to 18 in Two Thrones. It didn't feel right.<br /><br />One other criticism I have is the speed kill system. Although an interesting concept, it was rather poorly executed, from several standpoints. Firstly, it is painfully repetitive. Fight 5-10 creatures, and you already got enough of it. Not to mention that it's incredibly frustrating to screw up a speed kill, and then be forced to fight your target with the incredibly ineffective dagger, from which the targets take no damage. Bosses liven things up a bit, since most of them are a bit more dynamic, but the bosses are so few and far between it didn't really feel like the trade-off of 5 hours of repetitive gameplay to get me to one dynamic part was worth it. A system where I could be able to build my own combos would of been orgasmic, but I guess that's just too much wishful thinking.<br /><br />My last criticism would be pointed at the game's linearity. Throughout development, we were promised free-roaming through the streets of Babylon. What we were served was one of the most linear experiences in the past 2-3 years in video games. Oh, and the game itself is so criminally short it can be finished in 5 hours, whereas Warrior Within or Sands of Time take a solid 10+ hours.<br /><br />Overall it was as good a game as the other Prince of Persia titles, one of the best of 2005 as well, but it was much less than we were promised, and WAY LESS than I had anticipated. For all the praise it got, it makes me wonder about the gaming community.<br /><br />(Edited on 2nd December 2008, original on Febuary 2006)"
10586_0,"Slipstream obviously is a bad movie. Now there are two types of bad movies. The first is of the Steven Seagal-category: meant to be cheap fun, and that's what it is. Poor film-making, but somehow fun to watch. The second category is where Slipstream fits into: meant to be original, innovative and artful yet all you get is mere pretentious junk. A Steven Seagal-picture knows it's terrible but doesn't want to be any more than terrible. Slipstream tries to be terrific but is actually the opposite, so in the end it's annoying as hell. The whole movie you're thinking: whoever made this should be sent to prison for insulting the intelligence of man. To sum up some of the things that went wrong with this flick: 1) the director uses all kinds of advanced techniques, mostly derived from The Matrix, for no purpose at all (a little like Swordfish but a thousand times worse), 2) the acting is totally unconvincing, people dying everywhere and the protagonists behaving like nothing is the matter, 3) huge plot holes everywhere, 4) an incredible load of editing errors, 5) everything is ripped from other movies, 6) this is the worst thing I've ever seen, 7) you shouldn't watch it, 8) forget all the positive comments around here. Thank you."
10630_0,"David Niven is an isolated concert pianist who is swept into the lives of apartment house residents in ""A Kiss in the Dark,"" also starring Jane Wyman. Niven is excellent as a man who knows no other world than that of the concert stage and the practice room, and his handlers like it that way. When an apartment manager visits him, Niven learns that one of his investments is The Cleopatra Apartments. One look at Jane Wyman in her shorts and Niven decides not to be an absentee landlord.<br /><br />This is a very entertaining comedy, and I agree with previous posters that there are laugh out loud scenes. Some of the comedy is provided by, of all people, Broderick Crawford as a subletter who works at night and sleeps -- or tries to -- all day. It's a different role for Crawford, and he does it very well.<br /><br />Wyman is very pretty and vivacious as an apartment dweller who falls for Niven, and the two have wonderful chemistry. Handsome Wayne Morris is her insurance salesman boyfriend. This isn't the most fabulous film you'll ever see, but it's a fun one."
10676_0,"I flicked on the show one Saturday, and I must say, it was horrible. I found my self thinking, ""Wow, are these professional actors or bums off the street? The cast was unbelievable, and it was quite obvious who the phantom was. Also, terrible plot. I mean come on people giant balloons causing havoc? Wow. <br /><br />I could not believe that stupid phantom. His laugh was obviously not by the actor, it was the laughter in a can. Really people, is it such a big deal that some guy turned on a fan in a movie? Even a maximum fan wouldn't have that effect.<br /><br />If you're looking for an hour to kill and you enjoy cheesy movies, this is the one for you. Look for bad acting by the whole cast."
10720_0,"Forget the other comments above. This movie is great, especially if you have ever been involved with any musical theatre in your life.<br /><br />This young troop of actors did an outstanding job, and I guarantee that at least four of them will go on to huge careers. Tiffany Taylor, Daniel Letterle especially turned out wonderful performances. <br /><br />It's been playing quite often on WAM and I find myself sitting through it every time it's on. I have yet to get tired of this movie. <br /><br />The musical numbers were fantastic!<br /><br />I get chills watching Tiffany Taylor sing ""Here's Where I Stand"" near the end of the film. And if you aren't moved by the drag party the campers hold for Michael, you're just dead inside. Dead I say."
10766_0,"It is a mystery to why I bothered even watching this film because I knew perfectly well that any film shown at 3 o'clock is not going to be remotely entertaining. For a lack of anything better to do (this has to be the only reason for anyone watching it), I sat down and tried to take in this tripe.<br /><br />First of all, it is obvious that it is trying too hard to be funny and is blatantly copying features of respectable films e.g. SHREK and THE EXORCIST. Punchlines are too obvious, these half-baked jokes are unbearable and you wonder if the producers even bothered thinking about how the plot works. Also, someone in the production is totally obsessed with slapping people.<br /><br />I feel pity on the main character for being so embarrassing. He deserves better! Even though I have been only exposed to mostly decent films, this has to be one of the worst movies of all time."
10810_0,"Though I wouldn't expect it at all, this was indeed a good movie. It has his problems (the teenagers are annoying as always, the dialoguse have major problems and the werewolf is not done very good), but you can surely pass over. The very good points: 1. The werewolf is quite crazy. He tears apart his victims, he IS a beast. 2. The werewolf is talking! This is ingenious indeed, I never saw it before, and I saw a lot of werewolf movies. You may think at first it is inappropriate, but I assure you the effect overall is very good. 3. There are pleasant nudity scenes, great tits, and the werewolf even rapes one of the teengirls in her perfect ass, in front of her boyfriend. While rather disturbing, the scene is quite good and adds to the story. 4. The atmosphere is nicely done, quite dark, quite 80's and there IS suspense. I am surely recommend the movie as one of the few werewolf movies made good in the last decades, with Ginger Snaps Unleashed and Dog Soldiers being other two examples in the same vein."
10856_0,"""The Fury"" is another underrated thriller from Brian DePalma, the ""Master of the Macabre"" (a title he earned, in my opinion). This film actually owes little to Hitchcock, other than a few directorial touches. DePalma here creates a dazzling original, with superb special effects and strong acting and a solid plot.<br /><br />""The Fury"" shares a few similarities with DePalma's previous film ""Carrie"". It is based on a best seller (by John Farris, who adapted his novel). Both films feature Amy Irving, then a newcomer to films. Both deal with psychics and telekinesis. And both are strong character studies grafted onto a thriller. <br /><br />""The Fury"" is a great deal more complicated in terms of the storyline than ""Carrie"" was. The film stars Kirk Douglas in a strong performance as a government agent whose son (a psychic) was kidnapped. John Cassavetes plays the kidnapper, who happens to be Douglas' partner (all these connections are established within the first 20 minutes, so I'm not spoiling it for you) The bulk of the film deals with Gillian (Amy Irving), another psychic who Douglas enlists to find his son. Over the course of the film, there are a great many surprises and revelations that DePalma just throws at the viewer. But don't worry about being confused. DePalma makes everything clear as it progresses.<br /><br />""The Fury"" finds DePalma working with mostly new collaborators, although a few (editor Paul Hirsch and some of the actors)are DePalma veterans. Despite the change, the technical credits are still first rate. The cinematographer is Richard H. Kline, who has shot many different kinds of films (exploitation, Hollywood, independent) and his photography is excellent, with great use of shadows and light. The score is by John Williams (famous for ""Jaws"", ""Star Wars"" and many, many Hollywood films) and it is an extremely effective one, but one wonders if Pino Donaggio might have done a better job (especially after his mesmerizing work in ""Dressed to Kill"", ""Carrie"" and especially ""Blow Out""). But still, I want to say that Williams' score is very good, especially towards the films' climatic moments. And Paul Hirsch's editing accomplishes exactly what it did for ""Carrie"".<br /><br />The acting is first rate as well. Kirk Douglas gives his usual strong performance and I go on record as saying that he is one of our most overlooked actors. John Cassavetes makes a memorable villain and although this job was most likely for the money (he acted to finance his own films; this job probably financed ""Gloria""), he doesn't sleepwalk through his role unlike some actors. Charles Durning returns as another villain, adding to his collection of offbeat and memorable performances (The Muppet Movie added another)and Amy Irving is very good as the psychic who helps Douglas. And if you pay close attention, you'll see Bill Finley in a cameo in the first 12 minutes or so. (And if you pay really close attention, you'll see Jim Belushi)<br /><br />As is the case with most DePalma thrillers, ""The Fury"" has a wow of an ending. It is probably the greatest of the DePalma endings, one of such satisfaction and plausibility that you won't stop talking about it for hours after the film is over. There is a deliberate pace and some of the middle scenes are sluggish, but fortunately, they don't last long and DePalma gives us our money's worth. ""The Fury"" is not the best of the DePalma thrillers (""Dressed to Kill"" gets my vote), but it is an excellent film that combines intelligence and craftmanship. It is a must see.<br /><br />**** out of 4 stars"
10900_0,"This show is by far the funniest thing I have seen on TV in a very long time. The concept of the show is genius, and the acting and props are all so perfectly bad (in a good way). The way they spoof the various 80's hospital dramas,actions shows, and blend them with some b-movie horror w/ some low budget sci-fi thrown in, is just amazing and works so well. The over-dramatics, the intentionally bad acting, the low budget look, and the interludes with the actors speaking about their vision for the show, blends into this comedic over the top, ridiculousness. Every line in this is either a hilarious well placed cliché, a silly premise, or utter silliness, all perfectly coming together to make a spoof piece that lampoons a variety of eighties shows and kept me entertained laughing out loud. It is also one of the most quotable shows ever. It is like the Spinal Tap of 80's television. The show is done so well, with every subtle little thing imaginable thrown in. You can watch it over and over and find even more jokes. Everyone who has a dark sense of humor needs to watch DARKPLACE."
10946_0,"OK, maybe I'm giving in to nostalgia here but I rented ""Footloose"" recently and thought it was great. Yes, it's definitely a teen flick, similar to ""Dirty Dancing"", and aging a little now.<br /><br />But the music is great and the plot and themes do as much for me as ""Grease"" ever did. As teen movies go, it is somewhat original and interesting.<br /><br />Who should see this film:<br /><br />-- Teens with nothing better to do on a rainy day<br /><br />-- People reliving the 1980s, you won't be disappointed to<br /><br />see this one again<br /><br />I'll give Footloose a 9 out of 10 because it cheered me up on a day I needed it."
10991_0,"First off, this is NOT as good as the movie ""Beautiful Thing""--the other British film about gay teens. But it still works wonderfully on its own terms.<br /><br />The movie is well-acted by the whole cast and the story is realistic (unfortunately) and true to life. Some people have complained that the interactions between the two boys keep running hot and cold way too often. Well welcome to real life! I know of similar situations with friends and this movie captured them perfectly. Also the isolation and longing of the gay boy was so accurate. There's a sequence at a dance when the two boys are staring longingly at each other while dancing with two women they couldn't care less about. That scene brought tears to my eyes! Also when the gay teen tells off the guy he's in love with and the closing scene (don't want to give it away) were also extremely powerful and honest. The film also ends realistically BUT not depressingly. Also, the film IS funny. It's not a comedy, but it does have its light moments. See it! It's well worth 8 or 9 bucks.<br /><br />"
11035_0,"The late Craig Russell is the star of Outrageous! It was a cult favorite here in the Boston area, playing for weeks at the late lamented Orson Welles Cinema. I had a bright red T-shirt with the movie logo on the front that I treasured for years.<br /><br />First and foremost, the film is a document of his brilliant performances; he not only got the look and mannerisms of his subjects down cold, he also spoke and sung all the voices himself!<br /><br />The plot, such as it is, is a tale about his attempts to become a successful performer, and about his schizophrenic friend and how he and she support and heal each other. It's not bad, but the performances are the heart and soul of the film.<br /><br />Outrageous! was long out of print; happily for the world, it's available again. Get it while you can."
11080_0,"This movie is, I think, extremely well-acted and produced. As for the comments about the extreme differences between the characters, have they not heard the old adage that ""truth is stranger thatn fiction?""<br /><br />I love this movie, pure and simple. The comments I've read about the scene on the table in the diner turn me off. I think it's great and it's one of my favorites."
11125_0,"Two loving parents feed their happy baby on the perch of their country home. It is often said that these early Lumiere shorts are primitive because they have not yet mastered basic film grammar, such as camera movement, editing or the close-up, films like these being a simple, static set-u;, the camera pointing at the scene from a middle distance. But as filmmakers like Godard, Ozu and Kitano, for instance, realised, that very grammar can be a violation of the integrity of the image, forcing us to concentrate of the structure in which the image is only a unit, rather than the image itself.<br /><br />There is nothing primitive or simple about this particular image; as critics have noted, this film offers two levels of movement, one human, recognisable, communal (the family); the other (the trees blowing) part of a different order altogether, of nature, cycles, immemoriality. So while the family represents a similar idea of continuity as the trees, of the species being reproduced, it sis also offered in stark contraast to them, as each member of the trio will eventually die, for all the nourishment and fertility, while nature lives on, indifferent.<br /><br />This frisson of mortality undercuts the film's essential conservatism, and differentiates it from the sinister surveillance of the earlier 'Sortie d'Usine'. This recognition that the powers of the camera-wielding Lumieres are in fact limited, that they are not as omniscient as they once thought they were, is perhaps dramatised in the figure of the father, one of the brothers, one of the first great director-stars, paving the way for Chaplin, Keaton and Welles. His crossing the line from director to star, from passive to active, from subject to object, represents a breach between the observer and observed, a breaking of that invisible line, a destruction of that contract Hollywood will try so desperately to enforce, between reality and fiction. The watcher is now the watched, distinctions and hierarchies have been abolished.<br /><br />Ironically, immortality has been conversely guarenteed - while the man behind the camera is lost, fading into a mere eye, a role taken over by every viewer, the actor brother is trapped forever in this rigid, simple domestic scenario, feeding the ever-hungry, unthinking baby, a harbinger of the medium he invented."
11170_0,"A universal story based on so many peoples lives, their first love, life experiences, growing up and most importantly discovering who loves them the most. It's about being young and feeling all those wonderful undiscovered feeling that we all humans feel for the first time. It's joyous to watch and reminisent about your own life as well as experiencing those moments one more time. After all we only live once."
11215_0,Recently was on Encore again. Vintage Maryam D'Abo. Why the owners refuse to release this on DVD given the large cult following I will never know. Some years ago I suggested another movie on DVD. The studio didn't think there would ever be a market for it. They have made more on the DVD than they made in the theaters by several times. (A Kelsey Grammar film) <br /><br />Something is out there was released in Australia on a rather pathetic VHS tape. This film deserves digital re-mastering and the DVD treatment. This made for NBC mini-series was outstanding. The later series... <br /><br />The movie could have been better if it had been done as a theatrical release instead of TV. D'Abo is a much better actress than she ever gets credit for. <br /><br />Whoever needs to get them to release this film for serious collectors.
11260_0,"There aren't many films of this genre (the late night TV film/filmfour film) which will grip you like this film does. I think, literally, I spent about half an hour in the doorway to the lounge, trying to leave the room in order to make a drink... but my eyes were fixed to the screen, and my feet fixed to the floor.<br /><br />I think this film speaks to you in a way you can't describe, you are along for the ride and you have bought 100% into the characters (save one 'baddy') - the director/cast/et al managed to produce something greater than the sum of it's parts. The film is fantastic and yet some of the parts really shouldn't add up to something so good.<br /><br />Excellent for what it is. Those who like to go on an emotional journey, a journey with the characters, an unpleasant and sometimes pillow-gripping journey, but a rewarding one none-the-less."
11305_0,"This movie is about how important it is to live your life to the fullest. To live your dreams, follow your instincts, to resist social pressure, stay true to yourself, to become who you really are. Leading character Anna, a hard-working wife and mother of two daughters, has always wanted to be a writer. But her work, husband and two daughters have always stood between her and her passion. A sick daughter, an unfaithful husband, a demanding old mother, and her own social commitment make it hard for her to sit down and write her autobiography. Then dramatic events make her realize that she has only one mission: to be a writer, to finally live! ('Leef'!) Several different sub-stories develop and finally come together in a breathtaking, jubilant climax. Award-winning script-writer Maria Goos is at her best here, and so is director Willem van de Sande-Bakhuysen, who was terminally ill when the shooting started and who died shortly after 'Live! was completed."
11350_0,"I enjoyed this more then the first. There was no slapstick comedy which really teed me off in the first film. Although there was a clear leader, it was more balanced on a party of characters. It was more of what I would expect from a D&D movie. The action was well paced, and the plot progressed well. The SFX were decent. A few times the CG wasn't that good but it didn't really detract that much. Ellie Chidzley as Lux was very easy on the eyes. Hope to see more of her in the future.<br /><br />In overall context of movies maybe 6.5/10. In the context of a D&D movie and to those looking for one I give it 8/10.<br /><br />Worth a view."
11396_0,"Arctic climes didn't do Sean Connery's initially troubled post-Bond career any favours, although his top billing in The Red Tent is highly misleading, since his supporting role is not much more than a cameo. Instead, forth-billed (after Claudia Cardinale and Hardy Kruger) Peter Finch takes the lead as General Nobile, whose ill-fated 1928 airship expedition to the North Pole, intended to boost Fascist Italy's international prestige, instead ended ingloriously with the survivors stranded on melting ice packs for weeks while inertia, lack of initiative and the poor chain of command resulted in buck-passing, recriminations and destroyed reputations rather than rescue attempts. The real-life disaster was the inspiration for Frank Capra's Dirigible (Capra and studio boss Harry Cohn were both huge admirers of Mussolini in the early days), but this ambitious Russian-Italian co-production is best remembered, if at all, for either its catastrophic box-office failure or its unusual framing structure. Although unusual may be an understatement: in a move more akin to theatre of the 60s rather than epic cinema, it begins with the ageing Nobile, tormented by another sleepless night, summoning up the ghosts of those involved in the disaster and the rescue to put his command on trial.<br /><br />As a dramatic device, it's too theatrical to entirely work, especially in the clumsy opening reel, but it impinges little on the main drama once the film gets going and ultimately pays dividends, both in the stark poetry and terrible beauty of a scene where Connery's Roald Amundsen recounts his own death and in the final moments which come to some kind of peace with the issues of responsibility, human fallibility and forgiveness. But it's the survival story that works best, with director Mickail K. Kalatozov often eschewing the spectacle (airship and plane crashes, icebreakers and vast landscapes of ice) with a preference for medium shots that keep the film surprisingly intimate (unusually for such an expensive picture, it is also shot in the more confined 1.78:1 ratio rather than Scope).<br /><br />I can't answer for its historical accuracy beyond Connery's philosophical Amundsen being nothing like the ruthless egomaniac of reality that he had become by this time (indeed, Amundsen's death in this rescue did much to salvage his heroic reputation after the public backlash to his bitter score-settling memoirs). However, far from having to be persuaded to join the rescue attempts, Amundsen had immediately volunteered only for Mussolini to specifically insist he be excluded because of his earlier public disputes with Nobile in the aftermath of their previous expedition, leaving Amundsen to finance his rescue attempt privately. Nor was Amundsen reluctant to return to the Arctic: shortly before the opportunity arose, he said that he wanted to go back and die there ""in the fulfilment of a high mission, quickly, without suffering."" (The fact that he was undergoing painful radium treatment at the time may have colored his words.) Poetic license aside, it is surprising that the political fallout is not dealt with more overtly - it was a huge national embarrassment that Il Duce's heroes had to be rescued by Russian communists. Indeed, the film is almost totally apolitical, with Il Duce mentioned only once in passing in the opening newsreel footage. However, as a drama it's unsensationally compelling, and Ennio Morricone's score is one of his best.<br /><br />Paramount's widescreen R1 DVD transfer is pretty good but sadly lacking in any extras."
11440_0,"I saw ""Into Great Silence"" the other day. I was frustrated, in no small measure by its length. (DVT is a worrisome byproduct.) OK, to the degree that the film provoked me to think and question and puzzle about my frustration and the silent life of these monks, it succeeded. But, I'm not convinced it's an important contribution to any deeper understanding of the solitude and great silence that is the life force of Grande Chartreuse. And that, I feel, is a failing.<br /><br />On reflection, solitude is what this ""meditation"" is attempting to get at. Yes, silence is key to solitude. But the title of the film misleads. And because there is no attempt to explain the Carthusian vocation/way of life, viewers are left to learn this on their own. In the end, the film short-changes viewers  and the monks. It's way too personal to have the impact that the filmmaker apparently intended. Understanding monastic life, especially early in the 21st century, would be a welcome antidote to the barrage of messages, sounds, and images that assault us daily. But this film misses the mark. So, I'm not ungrateful  just disappointed."
11486_0,"I'm sorry but saying this movie sucks is an understatement, the beginning and the ends were good, stay awake for the ending, despite the boring inbetween stuff, but don't miss the odd stuff inbetween it was either humorus, or gothic in a way. I can stay awake through anything, even HobGoblins, this is a great movie for animation lovers, definitely not for kids, but still this was a good animation."
